Name,Label,Phone,Email,Address City,Address State,Address Country,OLX Company ID,OLX URL,Ads count,Sample titles,Note
Formel D Polska Sp. z o.o.,OLX-agencja,,,Bolesławiec,Śląskie,Poland,366856953,https://www.olx.pl/oferta/praca/kontroler-jakosci-slawniow-od-zaraz-nie-wymagamy-doswiadczenia-CID4-ID1aLrfx.html,6,Kontroler jakości - Sławniów - od zaraz/nie wymagamy doświadczenia! | Kontroler Jakości - bez doświadczenia! | Kontroler jakości/Operator wsparcia produkcji - od zaraz -  nie wymagamy doświadczenia!,OLX: 6 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Kontroler jakości - Sławniów - od zaraz/nie wymagamy doświadczenia! | Kontroler Jakości - bez doświadczenia! | Kontroler jakości/Operator wsparcia produkcji - od zaraz -  nie wymagamy doświadczenia!
Niden  .,OLX-lead,,,Racibórz,Śląskie,Poland,10930867,https://www.olx.pl/oferta/praca/pracownik-produkcji-branza-agd-produkcja-bebnow-pralkowych-k-m-x-CID4-ID1aKxcJ.html,6,Pracownik produkcji – Branża AGD (Produkcja bębnów pralkowych) K/M/X | Pracownik produkcji – Elementy paneli słonecznych | Wolne weekendy | Praca na produkcji - akcesoria sceniczne - Bogacica k. Kluczborka  K/M/X,OLX: 6 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Pracownik produkcji – Branża AGD (Produkcja bębnów pralkowych) K/M/X | Pracownik produkcji – Elementy paneli słonecznych | Wolne weekendy | Praca na produkcji - akcesoria sceniczne - Bogacica k. Kluczborka  K/M/X
QSense,OLX-lead,,,Wrocław,Lubuskie,Poland,289390754,https://www.olx.pl/oferta/praca/prosta-praca-produkcyjna-bez-doswiadczenia-wroclaw-od-zaraz-CID4-ID1aKm2k.html,6,"Prosta praca produkcyjna - bez doświadczenia | Wrocław | od zaraz! | Pracownik produkcji – prosty montaż | Praca dla Pań i Panów | bez doświadczenia | WIECHLICE | Zawiercie | Operator procesu recyklingu baterii | Elastyczne godziny rozpoczęcia, premia frekwencyjna od startu!","OLX: 6 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Prosta praca produkcyjna - bez doświadczenia | Wrocław | od zaraz! | Pracownik produkcji – prosty montaż | Praca dla Pań i Panów | bez doświadczenia | WIECHLICE | Zawiercie | Operator procesu recyklingu baterii | Elastyczne godziny rozpoczęcia, premia frekwencyjna od startu!"
Kamila,OLX-lead,,,Legnica,Dolnośląskie,Poland,1244113,https://www.olx.pl/oferta/praca/obsluga-urzadzen-produkcyjnych-tlocznia-3-zmiany-i-darmowy-dojazd-CID4-ID1aKjB4.html,6,"Obsługa urządzeń produkcyjnych (tłocznia)- 3 zmiany i darmowy dojazd! | Operator/-ka maszyn i urządzeń - Tychy, praca od zaraz! | Poszukiwany operator/-ka maszyn, praca od zaraz!","OLX: 6 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Obsługa urządzeń produkcyjnych (tłocznia)- 3 zmiany i darmowy dojazd! | Operator/-ka maszyn i urządzeń - Tychy, praca od zaraz! | Poszukiwany operator/-ka maszyn, praca od zaraz!"
Human Pro Logistics,OLX-agencja,,,Garwolin,Mazowieckie,Poland,23253005,https://www.olx.pl/oferta/praca/-CID4-ID1aAnX2.html,6,"Робота на друкарні | Pracownik produkcji z uprawnienia UDT | Пакувальник косметики, парфумерії! Косметична фабрика!","OLX: 6 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Робота на друкарні | Pracownik produkcji z uprawnienia UDT | Пакувальник косметики, парфумерії! Косметична фабрика!"
rekrutacja,OLX-agencja,,,Radom,Mazowieckie,Poland,2196171637,https://www.olx.pl/oferta/praca/kierownik-uboju-i-patroszenia-kurczaka-k-m-CID4-ID1a9aFE.html,6,Kierownik Uboju i Patroszenia Kurczaka ( K/M) | Zastępca Kierownika Produkcji ( K/M) | Kierownik Operatorów Maszyn Przemysłu Spożywczego [K/M],OLX: 6 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Kierownik Uboju i Patroszenia Kurczaka ( K/M) | Zastępca Kierownika Produkcji ( K/M) | Kierownik Operatorów Maszyn Przemysłu Spożywczego [K/M]
Flame Employment Polska Sp. z o.o.,OLX-agencja,,,Toruń,Kujawsko-pomorskie,Poland,1622357,https://www.olx.pl/oferta/praca/produkcja-dla-pan-i-panow-bezposrednie-zatrudnienie-CID4-ID1aLPe2.html,5,"Produkcja dla Pań i Panów, bezpośrednie zatrudnienie | Pakowanie/Produkcja – praca od zaraz | Bydgoszcz | PRACOWNIK PRODUKCJI I PAKOWNI W TORUNIU | 1 ZMIANA (K/M)","OLX: 5 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Produkcja dla Pań i Panów, bezpośrednie zatrudnienie | Pakowanie/Produkcja – praca od zaraz | Bydgoszcz | PRACOWNIK PRODUKCJI I PAKOWNI W TORUNIU | 1 ZMIANA (K/M)"
Maja,OLX-lead,,,Grójec,Mazowieckie,Poland,1338193274,https://www.olx.pl/oferta/praca/piaskarz-operator-srutownicy-kabiny-srutowniczej-CID4-ID1aLiv7.html,5,Piaskarz - operator śrutownicy - kabiny śrutowniczej | Pracownik produkcji - umowa o pracę | Praca dodatkowa – elastyczne godziny pracy,OLX: 5 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Piaskarz - operator śrutownicy - kabiny śrutowniczej | Pracownik produkcji - umowa o pracę | Praca dodatkowa – elastyczne godziny pracy
Grupa Maspex Sp. z o.o.,OLX-lead,,,Oborniki,Śląskie,Poland,38734145,https://www.olx.pl/oferta/praca/mlodszy-kontroler-przyjecia-dostaw-k-m-CID4-ID1aKBvT.html,5,Młodszy kontroler przyjęcia dostaw (k/m) | Pracownik Produkcji (k/m) | Specjalista ds. ciągłego doskonalenia (k/m),OLX: 5 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Młodszy kontroler przyjęcia dostaw (k/m) | Pracownik Produkcji (k/m) | Specjalista ds. ciągłego doskonalenia (k/m)
Estera Lipnicka,OLX-lead,,,Ostróda,Warmińsko-mazurskie,Poland,2551711517,https://www.olx.pl/oferta/praca/osoba-sprzatajaca-CID4-ID1aKAd2.html,5,OSOBA SPRZĄTAJACA | KIEROWCA kat b - osoba kierująca pojazdem | CUKIERNIK - osoba do wyrobu i wypieku produktów cukierniczych,OLX: 5 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: OSOBA SPRZĄTAJACA | KIEROWCA kat b - osoba kierująca pojazdem | CUKIERNIK - osoba do wyrobu i wypieku produktów cukierniczych
Gi Group Czech Republic,OLX-agencja,,,Jastrzębie-Zdrój,Śląskie,Poland,38549673,https://www.olx.pl/oferta/praca/praca-na-produkcji-3-zmiany-wolne-weekendy-15-km-od-ostrawy-CID4-ID1aKzPk.html,5,"Praca na produkcji, 3 zmiany, wolne weekendy, 15 km od Ostrawy | Operator/ka Produkcji Ostrawa - darmowy dojazd do pracy | Praca na produkcji dla kobiet i mężczyzn,darmowy dojazd Racibórz-Opawa zapewniony busem","OLX: 5 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Praca na produkcji, 3 zmiany, wolne weekendy, 15 km od Ostrawy | Operator/ka Produkcji Ostrawa - darmowy dojazd do pracy | Praca na produkcji dla kobiet i mężczyzn,darmowy dojazd Racibórz-Opawa zapewniony busem"
Model Opakowania Sp. z.o.o,OLX-lead,,,Płońsk,Mazowieckie,Poland,35293599,https://www.olx.pl/oferta/praca/praca-na-wakacje-wsparcie-obszaru-produkcyjnego-CID4-ID1aKleq.html,5,Praca na wakacje- wsparcie obszaru produkcyjnego | Operator maszyny drukującej | Operator maszyn/ Pomocnik operatora maszyn,OLX: 5 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Praca na wakacje- wsparcie obszaru produkcyjnego | Operator maszyny drukującej | Operator maszyn/ Pomocnik operatora maszyn
Andrew,OLX-lead,,,Raba Niżna,Małopolskie,Poland,316286441,https://www.olx.pl/oferta/praca/osoba-do-serwisu-i-utrzymania-maszyn-produkcyjnych-stolarskich-CID4-ID1aIkkw.html,5,Osoba do serwisu i utrzymania maszyn produkcyjnych/ stolarskich | Praca przy produkcji szpul drewnianych | Specjalista/ Specjalistka ds. Inwestycji i Funduszy Unijnych,OLX: 5 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Osoba do serwisu i utrzymania maszyn produkcyjnych/ stolarskich | Praca przy produkcji szpul drewnianych | Specjalista/ Specjalistka ds. Inwestycji i Funduszy Unijnych
Maja,OLX-lead,,,Wąbrzeźno,Zachodniopomorskie,Poland,2547355632,https://www.olx.pl/oferta/praca/operator-produkcji-udt-suwnice-k-m-CID4-ID1aLIlP.html,4,Operator produkcji - UDT suwnice (k/m) | Pracownik produkcji (k/m),OLX: 4 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Operator produkcji - UDT suwnice (k/m) | Pracownik produkcji (k/m)
Gabi Jerczyński Sp. K.,OLX-lead,,,Kępno,Wielkopolskie,Poland,64625988,https://www.olx.pl/oferta/praca/operator-operatorka-do-rozkroju-pianki-CID4-ID1aJAXI.html,4,Operator/Operatorka do rozkroju pianki | Brygadzista/Brygadzistka w dziale stolarni | Praca na stolarni,OLX: 4 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Operator/Operatorka do rozkroju pianki | Brygadzista/Brygadzistka w dziale stolarni | Praca na stolarni
Joanna Arkko,OLX-lead,,,Wieliczka,Małopolskie,Poland,2549516878,https://www.olx.pl/oferta/praca/praca-na-produkcji-CID4-ID1aEQAe.html,4,Praca na produkcji | Praca fizyczna w terenie na wakacje (bez doświadczenia) | Praca przy produkcji elektroniki (Brzegi),OLX: 4 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Praca na produkcji | Praca fizyczna w terenie na wakacje (bez doświadczenia) | Praca przy produkcji elektroniki (Brzegi)
Hanza HR,OLX-agencja,,,Toruń,Kujawsko-pomorskie,Poland,10563283,https://www.olx.pl/oferta/praca/-CID4-ID1aELsu.html,4,Робота на пакуванні солодощів Ж/М | Praca przy pakowaniu na produkcji K/M | Magazynier/Magazynierka,OLX: 4 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Робота на пакуванні солодощів Ж/М | Praca przy pakowaniu na produkcji K/M | Magazynier/Magazynierka
ATT Sp. z o.o.,OLX-lead,,,Kokotów,Małopolskie,Poland,1562742273,https://www.olx.pl/oferta/praca/osoba-do-pracy-na-trawialni-k-m-CID4-ID1aDFYm.html,4,Osoba do pracy na trawialni K/M | Magazynier w dziale kompletacji zamówień | Pracownik produkcji K/M,OLX: 4 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Osoba do pracy na trawialni K/M | Magazynier w dziale kompletacji zamówień | Pracownik produkcji K/M
Hammer Sp.z o.o.,OLX-lead,,,Tarnowo Podgórne,Wielkopolskie,Poland,1088598695,https://www.olx.pl/oferta/praca/pracownik-produkcji-CID4-ID1ajZEp.html,4,Pracownik Produkcji | Pracownik produkcji,OLX: 4 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Pracownik Produkcji | Pracownik produkcji
Negotrust Sp. z o.o.,OLX-lead,,,Zabrze,Śląskie,Poland,6938309,https://www.olx.pl/oferta/praca/praca-na-produkcji-ok-netto-7040zl-student-zus-4876zl-CID4-ID171G5o.html,4,"Praca na produkcji - ok.: netto 7040zł STUDENT/ZUS 4876zł | Praca na produkcji, dużo wolnych miejsc | Praca na produkcji - Proste prace manualne - Ok. ZUS 5530/STUDENT 6160","OLX: 4 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Praca na produkcji - ok.: netto 7040zł STUDENT/ZUS 4876zł | Praca na produkcji, dużo wolnych miejsc | Praca na produkcji - Proste prace manualne - Ok. ZUS 5530/STUDENT 6160"
WEREMCZUK FMR Sp. z o.o.,OLX-lead,,,Niedrzwica Duża,Lubelskie,Poland,19607519,https://www.olx.pl/oferta/praca/montaz-innowacyjnych-maszyn-CID4-ID14cvtx.html,4,Montaż Innowacyjnych Maszyn | Projektowanie instalacji elektrycznych do maszyn 2D | Prace elektryczne i elektrotechniczne,OLX: 4 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: Montaż Innowacyjnych Maszyn | Projektowanie instalacji elektrycznych do maszyn 2D | Prace elektryczne i elektrotechniczne
TMMP Jelcz-Laskowice,OLX-lead,,,Oława,Dolnośląskie,Poland,180927013,https://www.olx.pl/oferta/praca/toyota-pracownik-czka-produkcji-jelcz-laskowice-CID4-IDSnXlX.html,4,TOYOTA: Pracownik/-czka Produkcji (Jelcz-Laskowice) | Toyota: Pracownik/-czka  Produkcji (Jelcz-Laskowice) | Toyota: Pracownik/-czka Produkcji (Jelcz-Laskowice),OLX: 4 ogłoszenie(-ń) w kategoriach produkcja/magazyn/logistyka. Tytuły: TOYOTA: Pracownik/-czka Produkcji (Jelcz-Laskowice) | Toyota: Pracownik/-czka  Produkcji (Jelcz-Laskowice) | Toyota: Pracownik/-czka Produkcji (Jelcz-Laskowice)
